Date Time,Abs Pressure (kPa),Temperature (C),Conductivity (µS/cm),Water table above sensor (m),Water table to TOC (m),Water table elevation (m),Water table below the ground (m)
2021-11-13 00:20:00,70.326,5.515,0.0,0.03,,,-2.7780000000002474
2021-11-13 00:50:00,70.327,5.514,0.0,0.03,,,-2.7780000000002474
2021-11-13 01:20:00,70.32,5.513,0.0,0.031,,,-2.777000000000044
2021-11-13 01:50:00,70.293,5.512,0.0,0.03,,,-2.7780000000002474
2021-11-13 02:20:00,70.276,5.512,0.0,0.031,,,-2.777000000000044
2021-11-13 02:50:00,70.26,5.511,0.0,0.03,,,-2.7780000000002474
2021-11-13 03:20:00,70.264,5.51,0.0,0.03,,,-2.7780000000002474
2021-11-13 03:50:00,70.237,5.51,0.0,0.03,,,-2.7780000000002474
2021-11-13 04:20:00,70.232,5.508,0.0,0.031,,,-2.777000000000044
2021-11-13 04:50:00,70.228,5.508,0.0,0.032,,,-2.7760000000002947
2021-11-13 05:20:00,70.214,5.507,0.0,0.031,,,-2.777000000000044
2021-11-13 05:50:00,70.2,5.507,0.0,0.03,,,-2.7780000000002474
2021-11-13 06:20:00,70.2,5.506,0.0,0.031,,,-2.777000000000044
2021-11-13 06:50:00,70.188,5.505,0.0,0.03,,,-2.7780000000002474
2021-11-13 07:20:00,70.186,5.505,0.0,0.031,,,-2.777000000000044
2021-11-13 07:50:00,70.186,5.504,0.0,0.03,,,-2.7780000000002474
2021-11-13 08:20:00,70.2,5.503,0.0,0.03,,,-2.7780000000002474
2021-11-13 08:50:00,70.228,5.502,0.0,0.032,,,-2.7760000000002947
2021-11-13 09:20:00,70.219,5.501,0.0,0.029,,,-2.7789999999999964
2021-11-13 09:50:00,70.23,5.501,0.0,0.03,,,-2.7780000000002474
2021-11-13 10:20:00,70.25,5.5,0.0,0.03,,,-2.7780000000002474
2021-11-13 10:50:00,70.248,5.499,0.0,0.029,,,-2.7789999999999964
2021-11-13 11:20:00,70.229,5.499,0.0,0.026,,,-2.782000000000153
2021-11-13 11:50:00,70.235,5.498,0.0,0.028,,,-2.7800000000002
2021-11-13 12:20:00,70.188,5.498,0.0,0.027,,,-2.781000000000404
2021-11-13 12:50:00,70.113,5.497,0.0,0.024,,,-2.784000000000105
2021-11-13 13:20:00,70.13,5.496,0.0,0.027,,,-2.781000000000404
2021-11-13 13:50:00,70.134,5.496,0.0,0.027,,,-2.781000000000404
2021-11-13 14:20:00,70.1,5.495,0.0,0.026,,,-2.782000000000153
2021-11-13 14:50:00,70.117,5.494,0.0,0.029,,,-2.7789999999999964
2021-11-13 15:20:00,70.121,5.494,0.0,0.029,,,-2.7789999999999964
2021-11-13 15:50:00,70.073,5.493,0.0,0.026,,,-2.782000000000153
2021-11-13 16:20:00,70.095,5.492,0.0,0.026,,,-2.782000000000153
2021-11-13 16:50:00,70.137,5.492,0.0,0.029,,,-2.7789999999999964
2021-11-13 17:20:00,70.149,5.491,0.0,0.029,,,-2.7789999999999964
2021-11-13 17:50:00,70.184,5.49,0.0,0.029,,,-2.7789999999999964
2021-11-13 18:20:00,70.214,5.49,0.0,0.03,,,-2.7780000000002474
2021-11-13 18:50:00,70.254,5.489,0.0,0.031,,,-2.777000000000044
2021-11-13 19:20:00,70.224,5.489,0.0,0.029,,,-2.7789999999999964
2021-11-13 19:50:00,70.22,5.488,0.0,0.029,,,-2.7789999999999964
2021-11-13 20:20:00,70.231,5.488,0.0,0.029,,,-2.7789999999999964
2021-11-13 20:50:00,70.252,5.488,0.0,0.029,,,-2.7789999999999964
2021-11-13 21:20:00,70.292,5.486,0.0,0.03,,,-2.7780000000002474
2021-11-13 21:50:00,70.314,5.486,0.0,0.031,,,-2.777000000000044
2021-11-13 22:20:00,70.291,5.485,0.0,0.029,,,-2.7789999999999964
2021-11-13 22:50:00,70.298,5.484,0.0,0.031,,,-2.777000000000044
2021-11-13 23:20:00,70.282,5.484,0.0,0.031,,,-2.777000000000044
2021-11-13 23:50:00,70.281,5.483,0.0,0.031,,,-2.777000000000044
2021-11-14 00:20:00,70.284,5.482,0.0,0.031,,,-2.777000000000044
2021-11-14 00:50:00,70.273,5.482,0.0,0.031,,,-2.777000000000044
2021-11-14 01:20:00,70.252,5.481,0.0,0.031,,,-2.777000000000044
2021-11-14 01:50:00,70.234,5.481,0.0,0.03,,,-2.7780000000002474
2021-11-14 02:20:00,70.238,5.48,0.0,0.031,,,-2.777000000000044
2021-11-14 02:50:00,70.229,5.479,0.0,0.03,,,-2.7780000000002474
2021-11-14 03:20:00,70.253,5.479,0.0,0.032,,,-2.7760000000002947
2021-11-14 03:50:00,70.26,5.479,0.0,0.032,,,-2.7760000000002947
2021-11-14 04:20:00,70.24,5.478,0.0,0.03,,,-2.7780000000002474
2021-11-14 04:50:00,70.247,5.477,0.0,0.03,,,-2.7780000000002474
2021-11-14 05:20:00,70.243,5.477,0.0,0.03,,,-2.7780000000002474
2021-11-14 05:50:00,70.239,5.476,0.0,0.03,,,-2.7780000000002474
2021-11-14 06:20:00,70.231,5.475,0.0,0.031,,,-2.777000000000044
2021-11-14 06:50:00,70.234,5.475,0.0,0.032,,,-2.7760000000002947
2021-11-14 07:20:00,70.25,5.475,0.0,0.032,,,-2.7760000000002947
2021-11-14 07:50:00,70.269,5.473,0.0,0.032,,,-2.7760000000002947
2021-11-14 08:20:00,70.271,5.474,0.0,0.03,,,-2.7780000000002474
2021-11-14 08:50:00,70.269,5.472,0.0,0.03,,,-2.7780000000002474
2021-11-14 09:20:00,70.281,5.472,0.0,0.03,,,-2.7780000000002474
2021-11-14 09:50:00,70.283,5.471,0.0,0.029,,,-2.7789999999999964
2021-11-14 10:20:00,70.302,5.471,0.0,0.03,,,-2.7780000000002474
2021-11-14 10:50:00,70.302,5.47,0.0,0.028,,,-2.7800000000002
