time,Conifer_lower_1,Aspen_lower_2,ERTweather,ERTweather_1,Aspen_upper_1,Conifer_upper_1,Conifer_middle,ERT0,Conifer_upper,ERT2,SNI2,ERT6,Conifer_upper_weather,ERT5,ERT1,ERT4,ERT8,ERT7,ERT3,ERTtop,LoRa_base_station,Meadow_piezo,SNI2_2,Aspen_lower,Aspen_lower_1,Aspen_upper,Conifer_lower,Conifer_upper_2
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-26,10.5,10.5,10.5,11.5,0.0,0.0,7.5,,,,,,,,,,,,,,,,,,,,,
2020-10-27,5.5,5.5,5.5,11.5,2.5,13.0,2.5,,,,,,,,,,,,,,,,,,,,,
2020-10-28,5.5,5.5,0.0,0.0,2.5,13.0,7.5,,,,,,,,,,,,,,,,,,,,,
2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,,,,,,,,,,,,,,,,,,,,
2020-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2020-11-07,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,,,,,,,,,,,,,,,,,,,,
2020-11-08,10.5,10.5,15.5,16.5,0.0,23.0,7.5,,,,,,,,,,,,,,,,,,,,,
2020-11-09,15.5,20.5,35.5,31.5,0.0,23.0,12.5,,,,,,,,,,,,,,,,,,,,,
2020-11-10,15.5,20.5,30.5,26.5,17.5,23.0,12.5,,,,,,,,,,,,,,,,,,,,,
2020-11-11,20.5,15.5,25.5,26.5,12.5,23.0,7.5,,,,,,,,,,,,,,,,,,,,,
2020-11-12,10.5,10.5,20.5,21.5,12.5,23.0,7.5,,,,,,,,,,,,,,,,,,,,,
2020-11-13,15.5,10.5,20.5,21.5,17.5,23.0,7.5,,,,,,,,,,,,,,,,,,,,,
2020-11-14,35.5,30.5,35.5,36.5,32.5,43.0,27.5,,,,,,,,,,,,,,,,,,,,,
2020-11-15,25.5,25.5,30.5,31.5,27.5,33.0,22.5,,,,,,,,,,,,,,,,,,,,,
2020-11-16,25.5,20.5,25.5,31.5,22.5,33.0,22.5,,,,,,,,,,,,,,,,,,,,,
2020-11-17,15.5,20.5,25.5,26.5,17.5,33.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-11-18,15.5,15.5,20.5,21.5,17.5,23.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-11-19,15.5,10.5,20.5,21.5,17.5,23.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-11-20,10.5,10.5,15.5,16.5,12.5,23.0,12.5,,,,,,,,,,,,,,,,,,,,,
2020-11-21,20.5,20.5,25.5,21.5,22.5,33.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-11-22,15.5,15.5,20.5,21.5,17.5,33.0,12.5,,,,,,,,,,,,,,,,,,,,,
2020-11-23,20.5,15.5,25.5,21.5,22.5,33.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-11-24,25.5,30.5,40.5,36.5,37.5,43.0,27.5,,,,,,,,,,,,,,,,,,,,,
2020-11-25,25.5,30.5,35.5,36.5,32.5,43.0,22.5,,,,,,,,,,,,,,,,,,,,,
2020-11-26,25.5,25.5,35.5,31.5,27.5,43.0,22.5,,,,,,,,,,,,,,,,,,,,,
2020-11-27,25.5,25.5,35.5,31.5,27.5,43.0,22.5,,,,,,,,,,,,,,,,,,,,,
2020-11-28,25.5,25.5,30.5,31.5,27.5,33.0,22.5,,,,,,,,,,,,,,,,,,,,,
2020-11-29,20.5,25.5,30.5,26.5,22.5,33.0,22.5,,,,,,,,,,,,,,,,,,,,,
2020-11-30,20.5,25.5,30.5,26.5,22.5,33.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-12-01,20.5,25.5,30.5,31.5,22.5,33.0,22.5,,,,,,,,,,,,,,,,,,,,,
2020-12-02,20.5,25.5,30.5,31.5,22.5,23.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-12-03,20.5,25.5,30.5,31.5,22.5,33.0,22.5,,,,,,,,,,,,,,,,,,,,,
2020-12-04,20.5,25.5,30.5,31.5,22.5,33.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-12-05,20.5,25.5,30.5,31.5,22.5,33.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-12-06,20.5,25.5,30.5,31.5,22.5,33.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-12-07,20.5,25.5,30.5,31.5,22.5,33.0,17.5,,,,,,,,,,,,,,,,,,,,,
2020-12-08,20.5,20.5,30.5,31.5,22.5,33.0,17.5,,,,,,,,,,,,,,,,,,,,,
