Date,Date,Q (m3/s),T (C)
2022-04-28 01:00:00,2022-04-28 01:00:00,0.000363844,
2022-04-28 02:00:00,2022-04-28 02:00:00,0.000380506,
2022-04-28 03:00:00,2022-04-28 03:00:00,0.000270055,
2022-04-28 04:00:00,2022-04-28 04:00:00,0.000321162,
2022-04-28 05:00:00,2022-04-28 05:00:00,0.000411142,
2022-04-28 06:00:00,2022-04-28 06:00:00,0.000326722,
2022-04-28 07:00:00,2022-04-28 07:00:00,0.000268039,
2022-04-28 08:00:00,2022-04-28 08:00:00,0.000350124,
2022-04-28 09:00:00,2022-04-28 09:00:00,0.000333723,
2022-04-28 10:00:00,2022-04-28 10:00:00,0.000266951,
2022-04-28 11:00:00,2022-04-28 11:00:00,0.000345299,
2022-04-28 12:00:00,2022-04-28 12:00:00,0.00035743,
2022-04-28 13:00:00,2022-04-28 13:00:00,0.000483542,
2022-04-28 14:00:00,2022-04-28 14:00:00,0.000475346,
2022-04-28 15:00:00,2022-04-28 15:00:00,0.000635211,
2022-04-28 16:00:00,2022-04-28 16:00:00,0.000703681,
2022-04-28 17:00:00,2022-04-28 17:00:00,0.00099515,
2022-04-28 18:00:00,2022-04-28 18:00:00,0.00088682,
2022-04-28 19:00:00,2022-04-28 19:00:00,0.001204492,
2022-04-28 20:00:00,2022-04-28 20:00:00,0.001203065,
2022-04-28 21:00:00,2022-04-28 21:00:00,0.001076634,
2022-04-28 22:00:00,2022-04-28 22:00:00,0.001195947,
2022-04-28 23:00:00,2022-04-28 23:00:00,0.001127778,
2022-04-29 00:00:00,2022-04-29 00:00:00,0.001243699,
2022-04-29 01:00:00,2022-04-29 01:00:00,0.001148063,
2022-04-29 02:00:00,2022-04-29 02:00:00,0.000785037,
2022-04-29 03:00:00,2022-04-29 03:00:00,0.001392633,
2022-04-29 04:00:00,2022-04-29 04:00:00,0.000768665,
2022-04-29 05:00:00,2022-04-29 05:00:00,0.001016173,
2022-04-29 06:00:00,2022-04-29 06:00:00,0.000828107,
2022-04-29 07:00:00,2022-04-29 07:00:00,0.000910097,
2022-04-29 08:00:00,2022-04-29 08:00:00,0.000896688,
2022-04-29 09:00:00,2022-04-29 09:00:00,0.000786343,
2022-04-29 10:00:00,2022-04-29 10:00:00,0.000675791,
2022-04-29 11:00:00,2022-04-29 11:00:00,0.000708602,
2022-04-29 12:00:00,2022-04-29 12:00:00,0.000601993,
2022-04-29 13:00:00,2022-04-29 13:00:00,0.000554661,
2022-04-29 14:00:00,2022-04-29 14:00:00,0.000750121,
2022-04-29 15:00:00,2022-04-29 15:00:00,0.000904027,
2022-04-29 16:00:00,2022-04-29 16:00:00,0.000964522,
2022-04-29 17:00:00,2022-04-29 17:00:00,0.000976489,
2022-04-29 18:00:00,2022-04-29 18:00:00,0.000957451,
2022-04-29 19:00:00,2022-04-29 19:00:00,0.00103573,
2022-04-29 20:00:00,2022-04-29 20:00:00,0.00107719,
2022-04-29 21:00:00,2022-04-29 21:00:00,0.000914148,
2022-04-29 22:00:00,2022-04-29 22:00:00,0.000997537,
2022-04-29 23:00:00,2022-04-29 23:00:00,0.001006051,
2022-04-30 00:00:00,2022-04-30 00:00:00,0.000956765,
2022-04-30 01:00:00,2022-04-30 01:00:00,0.000776534,
